dato,serie,event,lokation,dansk_tid,tv_dk,stream_dk,highlight
21. jun,IndyCar,XPEL Grand Prix at Road America,Elkhart Lake - Wisconsin,20:00,TV3 Sport / TV3 Max,Viaplay / IndyCar Live,
21. jun,NASCAR,Anduril 250 — K-Mag debut!,Naval Base Coronado - San Diego,22:30,TV3 Sport,Amazon Prime Video,★
25-28. jun,IMSA,Sahlen's Six Hours of The Glen,Watkins Glen - New York,18:05 søndag,—,IMSA.tv / Peacock,
25-28. jun,GT3,CrowdStrike 24 Hours of Spa,Spa-Francorchamps - Belgien,15:00 lørdag,Eurosport 1,Discovery+ / YouTube GT-WC,
26-28. jun,F1,Østrigs Grand Prix,Spielberg - Østrig,15:00 søndag,TV3+,Viaplay / F1 TV,
3-5. jul,F1,Britisk Grand Prix,Silverstone - UK,16:00 søndag,TV3+,Viaplay / F1 TV,
5. jul,IndyCar,Honda Indy 200 at Mid-Ohio,Lexington - Ohio,18:30,TV3 Sport / TV3 Max,Viaplay / IndyCar Live,
10-12. jul,WEC,Rolex 6 Hours of São Paulo,Interlagos - Brasilien,16:30 søndag,Eurosport 1,Discovery+ / FIA WEC+,
10-12. jul,IMSA,Canadian Tire Motorsport Park,Bowmanville - Canada,19:00 lørdag,—,IMSA.tv,
17-19. jul,F1,Belgisk Grand Prix,Spa-Francorchamps - Belgien,15:00 søndag,TV3+,Viaplay / F1 TV,
19. jul,IndyCar,Nashville Superspeedway (natløb),Nashville - Tennessee,02:00 nat,TV3 Sport,Viaplay / IndyCar Live,
24-26. jul,F1,Ungarnsk Grand Prix,Budapest - Ungarn,15:00 søndag,TV3+,Viaplay / F1 TV,
30. jul-2. aug,IMSA,Road America Endurance,Elkhart Lake - Wisconsin,TBA,—,IMSA.tv,
9. aug,IndyCar,Portland International Raceway,Portland - Oregon,22:00,TV3 Sport,Viaplay / IndyCar Live,
16. aug,IndyCar,Ontario Honda Dealers Indy at Markham,Markham - Ontario,18:00,TV3 Sport,Viaplay / IndyCar Live,
21-23. aug,F1,Hollandsk Grand Prix,Zandvoort - Holland,15:00 søndag,TV3+,Viaplay / F1 TV,
20-23. aug,IMSA,Virginia International Raceway,Alton - Virginia,TBA,—,IMSA.tv,
23. aug,IndyCar,Streets of Washington,Washington D.C.,TBA,TV3 Sport,Viaplay / IndyCar Live,
29-30. aug,IndyCar,Milwaukee Mile Doubleheader,West Allis - Wisconsin,20:30 / 19:00,TV3 Sport,Viaplay / IndyCar Live,
29-30. aug,GT3,GT World Challenge – 3H Nürburgring,Nürburgring - Tyskland,TBA,Eurosport 2,Discovery+,
4-6. sep,F1,Italiensk Grand Prix,Monza - Italien,15:00 søndag,TV3+,Viaplay / F1 TV,
4-6. sep,WEC,Lone Star Le Mans,COTA - Austin Texas,21:00 lørdag,Eurosport 1,Discovery+ / FIA WEC+,
6. sep,IndyCar,FINALE – Laguna Seca,Monterey - Californien,22:30,TV3 Sport,Viaplay / IndyCar Live,
11-13. sep,F1,Madrid Grand Prix,Madrid - Spanien,15:00 søndag,TV3+,Viaplay / F1 TV,
18-20. sep,IMSA,Indianapolis Motor Speedway,Indianapolis - Indiana,TBA,—,IMSA.tv,
25-27. sep,F1,Azerbajdjan Grand Prix,Baku,13:00 søndag,TV3+,Viaplay / F1 TV,
25-27. sep,WEC,6 Hours of Fuji,Fuji - Japan,06:00 søndag,Eurosport 1,Discovery+ / FIA WEC+,
1-3. okt,IMSA,FINALE – Motul Petit Le Mans,Road Atlanta - Georgia,TBA,—,IMSA.tv,
8-10. okt,GT3,Indianapolis 8 Hour (IGTC),Indianapolis Motor Speedway,TBA,Eurosport,Discovery+,
9-11. okt,F1,Singapore Grand Prix,Singapore,14:00 søndag,TV3+,Viaplay / F1 TV,
22-24. okt,WEC,Qatar 1812 km,Losail - Qatar,14:00 lørdag,Eurosport 1,Discovery+ / FIA WEC+,
23-25. okt,F1,USA Grand Prix,COTA - Austin Texas,21:00 søndag,TV3+,Viaplay / F1 TV,
30. okt-1. nov,F1,Mexico Grand Prix,Mexico City,21:00 søndag,TV3+,Viaplay / F1 TV,
5-7. nov,WEC,FINALE – 8 Hours of Bahrain,Sakhir - Bahrain,15:00 lørdag,Eurosport 1,Discovery+ / FIA WEC+,
6-8. nov,F1,Brasiliansk Grand Prix,São Paulo - Brasilien,18:00 søndag,TV3+,Viaplay / F1 TV,
8. nov,NASCAR,FINALE – Homestead-Miami,Homestead - Florida,20:30,TV3 Sport,Viaplay,
19-21. nov,F1,Las Vegas Grand Prix,Las Vegas - Nevada,06:00 søndag,TV3+,Viaplay / F1 TV,
27-29. nov,F1,Qatar Grand Prix,Lusail - Qatar,15:00 søndag,TV3+,Viaplay / F1 TV,
4-6. dec,F1,FINALE – Abu Dhabi Grand Prix,Yas Marina - UAE,14:00 søndag,TV3+,Viaplay / F1 TV,
